N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
72,오리온,"125,000","1,000",-0.79%,500,"49,420","39,536",39.49,"74,795",20.50,15.50
73,에스디바이오센서,"47,150",300,+0.64%,500,"48,692","103,271",2.39,"1,604,100",7.15,139.97
74,아모레G,"57,000",0,0.00%,500,"47,001","82,458",17.12,"115,673",36.31,0.31
75,삼성엔지니어링,"23,900",600,+2.58%,"5,000","46,844","196,000",33.02,"2,065,445",14.84,17.32
76,녹십자,"390,000","13,000",+3.45%,"5,000","45,577","11,687",21.52,"157,950",48.76,7.48
77,유한양행,"64,600",400,+0.62%,"1,000","45,203","69,973",17.97,"245,633",46.98,11.06
78,삼성증권,"49,100","1,200",-2.39%,"5,000","43,846","89,300",30.09,"451,412",4.80,9.89
79,메리츠금융지주,"32,650",950,+3.00%,500,"43,755","134,011",8.08,"197,228",7.07,16.06
80,한진칼,"65,200",600,-0.91%,"2,500","43,514","66,739",14.81,"61,833",-44.51,-19.55
81,두산밥캣,"42,650",650,+1.55%,500,"42,756","100,249",25.90,"175,574",11.22,6.15
82,DB손해보험,"60,000",500,+0.84%,500,"42,480","70,800",42.92,"119,866",6.15,9.08
83,쌍용C&E,"8,390",50,-0.59%,100,"42,274","503,860",3.67,"753,059",27.06,7.92
84,팬오션,"7,800",50,+0.65%,"1,000","41,696","534,570",11.43,"2,889,926",23.93,3.25
85,삼성카드,"34,350",150,-0.43%,"5,000","39,798","115,859",8.27,"76,724",8.68,5.69
86,삼성중공업,"6,270",70,+1.13%,"1,000","39,501","630,000",13.96,"1,918,337",-2.57,-33.06
87,CJ대한통운,"171,000","1,000",+0.59%,"5,000","39,009","22,812",22.74,"29,128",112.06,3.89
88,GS,"41,950",250,-0.59%,"5,000","38,978","92,915",19.27,"156,506",4.77,-2.82
89,GS건설,"45,250",500,+1.12%,"5,000","38,726","85,581",26.36,"703,000",11.94,7.68
90,메리츠증권,"5,570",140,-2.45%,"1,000","37,972","681,731",14.09,"2,898,156",5.94,13.08
91,한미약품,"313,000","2,500",+0.81%,"2,500","37,805","12,078",13.10,"27,224",163.70,1.65
92,NH투자증권,"13,300",0,0.00%,"5,000","37,427","281,409",18.58,"504,837",4.74,10.32
93,롯데지주,"35,450",100,-0.28%,200,"37,190","104,909",8.24,"105,246",50.64,-3.03
94,신풍제약,"69,700",100,-0.14%,500,"36,931","52,985",8.71,"921,752","1,161.67",1.72
95,현대차2우B,"101,000","1,700",+1.71%,"5,000","36,850","36,485",60.90,"74,544",7.32,N/A
96,GS리테일,"34,300",150,-0.44%,"1,000","35,918","104,718",10.52,"353,408",18.83,7.50
97,한화시스템,"18,850",500,-2.58%,"5,000","35,611","188,919",3.30,"1,829,118",20.44,9.35
98,메리츠화재,"29,200",500,-1.68%,500,"35,222","120,625",10.90,"218,505",6.66,16.91
99,호텔신라,"89,200",300,+0.34%,"5,000","35,009","39,248",18.05,"202,131",-27.13,-36.74
100,한솔케미칼,"307,500","11,500",+3.89%,"5,000","34,856","11,335",41.54,"141,329",24.48,24.50
101,두산퓨얼셀,"52,600",200,-0.38%,100,"34,450","65,494",14.20,"1,068,852",876.67,4.18
102,KCC,"385,000","13,000",-3.27%,"5,000","34,213","8,886",12.95,"66,148",4.01,12.79
103,일진머티리얼즈,"74,000","1,100",+1.51%,500,"34,122","46,111",9.52,"178,296",71.71,7.23
104,씨에스윈드,"78,600",400,-0.51%,500,"33,147","42,171",10.89,"394,366",55.74,8.19
105,한국가스공사,"35,600",550,-1.52%,"5,000","32,863","92,313",6.47,"267,370",13.04,-2.24
106,현대오토에버,"119,500",0,0.00%,500,"32,772","27,424",1.60,"48,988",43.11,11.09
107,SK케미칼,"278,000","5,500",+2.02%,"5,000","32,669","11,751",15.94,"218,869",35.32,30.49
108,일진하이솔루스,"89,400","2,200",-2.40%,500,"32,464","36,313",5.47,"1,707,791",166.79,34.27
109,키움증권,"121,000","1,500",+1.26%,"5,000","31,714","26,210",24.21,"82,088",3.25,27.63
110,효성티앤씨,"732,000","12,000",-1.61%,"5,000","31,679","4,328",22.65,"53,566",6.26,25.10
111,한국항공우주,"32,400",150,-0.46%,"5,000","31,582","97,475",13.54,"266,236",160.40,6.39
112,에스원,"81,800",300,+0.37%,500,"31,083","37,999",53.79,"50,952",21.21,10.48
113,BGF리테일,"178,000","5,000",-2.73%,"1,000","30,765","17,284",33.02,"22,074",21.92,18.60
114,OCI,"128,500",500,-0.39%,"5,000","30,646","23,849",17.57,"335,253",105.85,-9.89
115,대우건설,"7,370",0,0.00%,"5,000","30,631","415,623",11.00,"1,568,208",6.71,11.06
116,롯데쇼핑,"107,500","1,500",-1.38%,"5,000","30,410","28,289",10.55,"36,637",-5.25,-7.70
